Id,LessonId,Gender,Number,Word,Meaning
235,2,,Plural,شُهَدَاء (أَمۡ كُنتُمۡ شُهَدَآءَ ),Witnesses
236,2,,Plural,شُهَدَاء (وَيَتَّخِذَ مِنكُمۡ شُهَدَآءَۗ ), Martyrs
237,2,,,مُبِين,Clear
238,2,,,نُور,Light
239,2,,,سَلَٰم,Peace
240,2,,,مُلۡك,Dominion/ Reign
241,2,,,سُلۡطَٰن,Authority/ Warrant/ Proof
242,2,,Singular,إِلَٰه ,god/ deity
243,2,,Plural,ءَالِهَة,deities
244,2,,,وَاحِد,One
245,2,,,أَحَد,One
246,2,,,أَحَد, Anyone
247,2,,Singular,شَرِيك ,Associate/ partner
248,2,,Plural,شُرَكَآء,Associates/ partners
249,2,,,غَيۡب,Unseen
250,2,,,شَهَٰدَة,Witnessed (visible)
251,2,,,عَرَش,Throne
252,2,,Singular,كِتَاب ,Book
253,2,,Plural,كُتُب,Books
254,2,,Singular,كَلِمَة ,Word
255,2,,Plural,كَلِمَٰت,Words
256,2,,Singular,مَلَك ,Angel
257,2,,Plural,مَلَٰٓئِكَة,Angels
258,2,,,عَهۡد,Covenant/ Pledge
259,2,,,مِيثَٰق,Covenant
260,2,,,إِذۡن,Permission
261,2,,Singular,شَيۡطَٰن ,Satan/ evil (Devil)
262,2,,Plural,شَيَٰطِين,Devils
263,2,,Singular,عَمَل ,Deed/ action
264,2,,Plural,أَعۡمَٰل,Deeds/ actions
265,2,,Singular,حَسَنَة ,Good
266,2,,Plural,حَسَنَٰت,Good deeds
267,2,,Singular,سَيِّئَة ,Bad/ misdeed/ sin
268,2,,Plural,سَيِّئَات,misdeeds/ sins
269,2,,,خَيۡر,Good
270,2,,,شَرّ,Evil/ Worst
271,2,,,إِثۡم,Sin
272,2,,Singular,ذَنۢب ,Sin
273,2,,Plural,ذُنُوب,Sins
274,2,,,جُنَاح,Blame
275,2,,,حَرَام,Unlawful (forbidden)
276,2,,,حَلَٰل,Permissible (halal)
277,2,,,حَدِيث,Conversation/ Discourse
278,2,,Singular,طَيِّب,Good (thing)
279,2,,Plural,طَيِّبَٰت,Good things
280,2,,Singular,أَجۡر ,Reward/ Compensation
281,2,,Plural,أُجُور,Rewards/ Compensations
282,2,,Singular,يَوۡم ,Day
283,2,,Plural,أَيَّام,Days
284,2,,,يَوۡمَئِذٍ,"That day, then"
285,2,,,ٱلۡقِيَٰمَة,Resurrection
286,2,,,ٱلسَّاعَة,An hour (The Hour)
287,2,,,أَجَل,Term
288,2,,,مُسَمَّى,Specific
289,2,,,حِسَاب,Account
290,2,,,ٱلۡأٓخِرَة,The Hereafter
291,2,,,أَبَدًا,"Forever, ever"
292,2,,,عَٰقِبَة,End
293,2,,,جَهَنَّم ,"Hell Fire, hell"
294,2,,,نَار, Fire
295,2,,,وَيۡل,Woe to
296,2,,,عِقَاب,Penalty
297,2,,,عَذَاب,Punishment
298,2,,,أَلِيم,Painful
299,2,,,جَزَاء,Reward/ Recompense
300,2,,,ثَواب,Reward
301,2,,Singular,جَنَّة ,Paradise/ garden
302,2,,Plural,جَنَّٰت,Paradise/ gardens
303,2,,,ٱلدُّنۡيَا,This world (present life)
304,2,,,عَٰلَمِين,Worlds
305,2,,,أَمۡوَٰل,Wealth
306,2,,,بَيۡت,House
307,2,,,ٱلۡبَيۡت,The Ka’ba
308,2,,Singular,دَار ,Home
309,2,,Plural,دِيَٰر,Homes
310,2,,,مَتَٰع,Provision/ enjoyment
311,2,,,مَكَان (شَرّٞ مَّكَانٗاۖ),Place/ position
312,2,,,مَكَان (ءَايَةٗ مَّكَانَ ءَايَةٖ),in place of
313,2,,Singular,قَرۡيَة ,City/ Town
314,2,,Plural,قُرَىٰ,Cities/ Towns
315,2,,,مَدِينَة,City
316,2,,,ٱلۡمَدِينَة,Madinah/ the city
317,2,,Singular,سَبِيل ,Way
318,2,,Plural,سُبُل,Ways
319,2,,,صِرَٰط,Path
320,2,,Singular,مَسۡجِد ,Mosque
321,2,,Plural,مَسَٰجِد,Mosques
322,2,,,فِتۡنَة,Trial
323,2,,,لِقَآء,Meeting
324,2,,,ذِي ٱلۡقُرۡبَى,Relatives
325,2,,,ٱلۡوَٰلِدَيۡن,Parents
326,2,,,أُمّ,Mother
327,2,,Singular,أَبّ,Father
