Id,StageId,LessonId,Audio ID,Gender,Number,Word,Meaning
165,2,2,2-2-11,,,أَكۡثَر  , Most
166,2,2,2-2-12,,, سَرِيع ,Swift
167,2,2,2-2-13,,, أَسۡرَع ,swiftest 
168,2,2,2-2-14,,,قَلِيل,Little/ few
169,2,2,2-2-15,,,كَرِيم,Noble
170,2,2,2-2-16,,,حَفِيظ,Guardian/ Protector
171,2,2,2-2-17,,,أَحۡسَن,Better
172,2,2,2-2-18,,,أَظۡلَم,More unjust
173,2,2,2-2-19,,,أَحَق,More worthy
174,2,2,2-2-20,,,أَدۡنَى,Nearer/ More likely
175,2,3,2-3-1,Male,Singular,رَسُول ,Messenger
176,2,3,2-3-2,,Plural,رُسُل,Messengers
177,2,3,2-3-3,,Singular,نَبِي,Prophet
178,2,3,2-3-4,,Plural,أَنۢبِيَآء,Prophets
179,2,3,2-3-5,,Plural,نَّبِيُّونَ,Prophets
180,2,3,2-3-6,,Plural,نَّبِيِّـۧنَ,Prophets
181,2,3,2-3-7,,,أَمِين,Trustworthy/ Honest
182,2,3,2-3-8,,,نَذِير,Warner
183,2,3,2-3-9,,,مُوسَىٰ ,Moses
184,2,3,2-3-10,,, هَٰرُون, Aaron
185,2,3,2-3-11,,,إِبۡرَٰهِـۧم (إِبۡرَٰهِيم),Abraham
186,2,3,2-3-12,,, إِسۡمَٰعِيل,Ishmael
187,2,3,2-3-13,,,نُوح,Noah
188,2,3,2-3-14,,,يُوسُف,Joseph
189,2,3,2-3-15,,,لُوط,Lot
190,2,3,2-3-16,,,عِيسَى ٱبۡنِ مَرۡيَم,"Jesus, son of Mary"
191,2,3,2-3-17,,,ءَادَم,Adam
192,2,3,2-3-18,,,سُلَيۡمَٰن,Solomon
193,2,3,2-3-19,,,إِسۡحَٰق,Isaac
194,2,3,2-3-20,,, يَعۡقُوب , Jacob 
195,2,3,2-3-21,,,إِسۡرَٰٓءِيل,Israel
196,2,3,2-3-22,,,دَاوُۥد,David
197,2,3,2-3-23,,,زَكَرِيا,Zachariah
198,2,3,2-3-24,,,يَحۡيَىٰ,John
199,2,3,2-3-25,,,أَيُّوب,Job
200,2,3,2-3-26,,,يُونُس (ذَا ٱلنُّون),Jonah
201,2,3,2-3-27,,,شُعَيۡب (مَدۡيَن),Shu’ayb (Madian)
202,2,3,2-3-28,,,صَٰلِح (ثَمُود),Salih (Thamud)
203,2,3,2-3-29,,,هُود (عَاد),Hud (‘Aad)
204,2,4,2-4-1,,Singular,ءَاية ,Sign/ verse
205,2,4,2-4-2,,Plural,ءَايات,Signs/ verses
206,2,4,2-4-3,,,ٱلۡقُرۡءَان,The Quran
207,2,4,2-4-4,,,ٱلۡإِنجِيل,The Gospel
208,2,4,2-4-5,,,ٱلتَّوۡرَىٰة,The Torah
209,2,4,2-4-6,,,أَنۡعَام,Livestock
210,2,4,2-4-7,,Singular,جَبَل,Mountain
211,2,4,2-4-8,,Plural,جِبَال,Mountains
212,2,4,2-4-9,,,بَـحۡر,Sea/ River
213,2,4,2-4-10,,Singular,نَهَر,River
214,2,4,2-4-11,,Plural,أَنۡهَٰر,Rivers
215,2,4,2-4-12,,,شَمۡس,Sun
216,2,4,2-4-13,,,قَمَر,Moon
217,2,4,2-4-14,,,لَيۡل,Night
218,2,4,2-4-15,,,نَهَار,Daytime
219,2,4,2-4-16,,,أَرۡض,Earth
220,2,4,2-4-17,,,سَمَآء,Heaven/ Sky
221,2,4,2-4-18,,,سَمَٰوَٰت,Heavens/ Sky
222,2,4,2-4-19,,,ءَالَآء,Favors
223,2,4,2-4-20,,,نِعۡمَة,Favor/ Bounty
224,2,4,2-4-21,,,فَضۡل,Favor/ Grace
225,2,4,2-4-22,,,مَآء,Water
226,2,5,2-5-1,,,دِين,Religion
227,2,5,2-5-2,,Singular,أَمۡر,Matter/ Command
228,2,5,2-5-3,,Plural,أُمُور,Matters/ Affairs
229,2,5,2-5-4,,,صَلَوٰة /صَلَاة,Prayer
230,2,5,2-5-5,,,زَّكَوٰة,(Zakah) Charity
231,2,5,2-5-6,,,حَقّ,Truth/ Right
232,2,5,2-5-7,,,بَٰطِل,Falsehood
233,2,5,2-5-8,,,حَمۡد,Praise
234,2,5,2-5-9,,,حِكۡمَة,Wisdom
235,2,5,2-5-10,,,تَقۡوى,Piety/ Fear of Allah
236,2,5,2-5-11,,Singular,شَهِيد,Witness
237,2,5,2-5-12,,Plural,شُهَدَاء,Witnesses
238,2,5,2-5-13,,Plural,شُهَدَاء , Martyrs
239,2,5,2-5-14,,,مُبِين,Clear
240,2,5,2-5-15,,,نُور,Light
241,2,5,2-5-16,,,سَلَٰم,Peace
242,2,5,2-5-17,,,مُلۡك,Dominion/ Reign
243,2,5,2-5-18,,,سُلۡطَٰن, Warrant/ Proof
244,2,5,2-5-19,,,سُلۡطَٰن,Authority
245,2,6,2-6-1,,Singular,إِلَٰه ,god/ deity
246,2,6,2-6-2,,Plural,إءَالِهَة,deities
247,2,6,2-6-3,,,وَاحِد,One
248,2,6,2-6-4,,,أَحَد,One
249,2,6,2-6-5,,,أَحَد, Anyone
250,2,6,2-6-6,,Singular,شَرِيك ,Associate/ partner
251,2,6,2-6-7,,Plural,شُرَكَآء,Associates/ partners
252,2,6,2-6-8,,,غَيۡب,Unseen
253,2,6,2-6-9,,,شَهَٰدَة,Witnessed (visible)
254,2,6,2-6-10,,,عَرَش,Throne
255,2,6,2-6-11,,Singular,كِتَاب ,Book
256,2,6,2-6-12,,Plural,كُتُب,Books
257,2,6,2-6-13,,Singular,كَلِمَة ,Word
258,2,6,2-6-14,,Plural,كَلِمَٰت,Words
259,2,6,2-6-15,,Singular,مَلَك ,Angel
260,2,6,2-6-16,,Plural,مَلَٰٓئِكَة,Angels
261,2,6,2-6-17,,,عَهۡد,Covenant/ Pledge
262,2,6,2-6-18,,,مِيثَٰق,Covenant
263,2,6,2-6-19,,,إِذۡن,Permission
264,2,6,2-6-20,,Singular,شَيۡطَٰن ,Satan/ evil (Devil)
265,2,6,2-6-21,,Plural,شَيَٰطِين,Devils
266,2,7,2-7-1,,Singular,عَمَل ,Deed/ action
267,2,7,2-7-2,,Plural,أَعۡمَٰل,Deeds/ actions
268,2,7,2-7-3,,Singular,حَسَنَة ,Good
269,2,7,2-7-4,,Plural,حَسَنَٰت,Good deeds
270,2,7,2-7-5,,Singular,سَيِّئَة ,Bad/ misdeed/ sin
271,2,7,2-7-6,,Plural,سَيِّئَات,misdeeds/ sins
272,2,7,2-7-7,,,خَيۡر,Good
273,2,7,2-7-8,,,شَرّ,Evil/ Worst
274,2,7,2-7-9,,,إِثۡم,Sin
275,2,7,2-7-10,,Singular,ذَنۢب ,Sin
276,2,7,2-7-11,,Plural,ذُنُوب,Sins
277,2,7,2-7-12,,,جُنَاح,Blame
278,2,7,2-7-13,,,حَرَام,Unlawful (forbidden)
279,2,7,2-7-14,,,حَلَٰل,Permissible (halal)
280,2,7,2-7-15,,,حَدِيث,Conversation/ Discourse
281,2,7,2-7-16,,Singular,طَيِّب,Good (thing)
282,2,7,2-7-17,,Plural,طَيِّبَٰت,Good things
283,2,7,2-7-18,,Singular,أَجۡر ,Reward/ Compensation
284,2,7,2-7-19,,Plural,أُجُور,Rewards/ Compensations
285,2,8,2-8-1,,Singular,يَوۡم ,Day
286,2,8,2-8-2,,Plural,أَيَّام,Days
287,2,8,2-8-3,,,يَوۡمَئِذٍ,"That day, then"
288,2,8,2-8-4,,,ٱلۡقِيَٰمَة,Resurrection
